Year,Geography,Selection Filter,Selection Value,Max. % Total Population,Max. Sub-Population,Max. Total Population
2011,Skamania,Age,25-44,22.61427679,2508.31,
2011,Skagit,Age,25-44,24.00768447,28163.89,
2011,San Juan,Age,25-44,17.82996627,2843.63,
2011,Pierce,Age,25-44,27.88447259,224232.2,
2011,Pend Oreille,Age,25-44,18.3281115,2375.03,
2011,Pacific,Age,25-44,18.10480942,3810.34,
2011,Okanogan,Age,25-44,21.50269435,8838.99,
2011,Mason,Age,25-44,22.8238615,13947.89,61111
2011,Lincoln,Age,25-44,17.96924164,1901.71,
2011,Lewis,Age,25-44,22.62116352,17235.44,
2011,Klickitat,Age,25-44,21.33078535,4373.34,
2011,Kittitas,Age,25-44,21.64925954,8908.01,
2011,Kitsap,Age,25-44,24.77489691,62999.3,
2011,King,Age,25-44,31.36017973,609519.1,
2011,Jefferson,Age,25-44,16.82047081,5068.06,
2011,Island,Age,25-44,22.65965211,17888.54,
2011,Grays Harbor,Age,25-44,23.48533899,17142.32,
2011,Grant,Age,25-44,25.23932475,22718.58,
2011,Garfield,Age,25-44,18.59512712,420.91,
2011,Franklin,Age,25-44,29.54617133,23776.72,
2011,Ferry,Age,25-44,18.31114075,1378.47,
2011,Douglas,Age,25-44,24.29448018,9370.76,
2011,Cowlitz,Age,25-44,23.58766241,24230.53,
2011,Columbia,Age,25-44,18.9682456,773.14,
2011,Clark,Age,25-44,26.78318223,114746.51,
2011,Clallam,Age,25-44,19.76693283,14160.41,
2011,Chelan,Age,25-44,23.27472664,16909.58,
2011,Benton,Age,25-44,25.75377493,45842.68,
2011,Asotin,Age,25-44,21.97942255,4751.05,
2011,Adams,Age,25-44,25.06643729,4755.8,
2011,Washington State,Age,15-24,13.5482163,917643.99,
2011,Yakima,Age,15-24,14.37432718,35164.24,
2011,Whitman,Age,15-24,42.72784421,18977.29,
2011,Whatcom,Age,15-24,17.70613146,35765.78,
2011,Walla Walla,Age,15-24,17.38616182,10223.43,
2011,Wahkiakum,Age,15-24,8.357563558,336.3,
2011,Thurston,Age,15-24,13.1543889,33475.99,
2011,Stevens,Age,15-24,11.83302216,5165.92,
2011,Spokane,Age,15-24,15.25487099,72356.84,
2011,Snohomish,Age,15-24,12.99825746,93168.23,
2011,Skamania,Age,15-24,10.65705829,1182.05,
2011,Skagit,Age,15-24,12.5387194,14709.42,
2011,San Juan,Age,15-24,8.087292929,1289.81,
2011,Pierce,Age,15-24,13.96200009,112275.03,
2011,Pend Oreille,Age,15-24,10.24632671,1327.76,
2011,Pacific,Age,15-24,9.800384966,2062.59,
2011,Okanogan,Age,15-24,11.17596444,4594.04,
2011,Mason,Age,15-24,11.22128586,6857.44,61111
2011,Lincoln,Age,15-24,10.29684952,1089.73,
2011,Lewis,Age,15-24,12.65407526,9641.35,
2011,Klickitat,Age,15-24,10.28095138,2107.85,
2011,Kittitas,Age,15-24,26.82347051,11037.04,
2011,Kitsap,Age,15-24,14.23462238,36196.77,
2011,King,Age,15-24,12.35184542,240071.51,
2011,Jefferson,Age,15-24,8.247873985,2485.11,
2011,Island,Age,15-24,12.52726284,9889.58,
2011,Grays Harbor,Age,15-24,12.49898961,9123.21,
2011,Grant,Age,15-24,14.80809971,13329.16,
2011,Garfield,Age,15-24,10.14777672,229.7,
2011,Franklin,Age,15-24,14.92029013,12006.82,
2011,Ferry,Age,15-24,12.45304223,937.47,
2011,Douglas,Age,15-24,13.28968805,5126.04,
2011,Cowlitz,Age,15-24,12.701362,13047.53,
2011,Columbia,Age,15-24,9.352865698,381.22,
2011,Clark,Age,15-24,12.98039316,55611.57,
2011,Clallam,Age,15-24,10.65507338,7632.96,
2011,Chelan,Age,15-24,12.77936732,9284.48,
2011,Benton,Age,15-24,13.52880639,24081.78,
2011,Asotin,Age,15-24,11.59026457,2505.34,
2011,Adams,Age,15-24,15.26175922,2895.58,
2011,Washington State,Age,1-14,17.99646596,1218931.59,
2011,Yakima,Age,1-14,23.734945,58063.33,
2011,Whitman,Age,1-14,10.84901858,4818.52,
2011,Whatcom,Age,1-14,15.96475544,32248.26,
2011,Walla Walla,Age,1-14,17.24181326,10138.55,
2011,Wahkiakum,Age,1-14,13.95909441,561.7,
2011,Thurston,Age,1-14,17.37865204,44226.12,
2011,Stevens,Age,1-14,17.57093567,7670.91,
2011,Spokane,Age,1-14,17.76739219,84274.22,
2011,Snohomish,Age,1-14,18.56233863,133050.16,
2011,Skamania,Age,1-14,16.84041505,1867.89,
2011,Skagit,Age,1-14,18.03585618,21158.22,
2011,San Juan,Age,1-14,11.66071003,1859.72,
2011,Pierce,Age,1-14,18.96998134,152546.57,
2011,Pend Oreille,Age,1-14,15.9225676,2063.31,
2011,Pacific,Age,1-14,13.26769302,2792.32,
2011,Okanogan,Age,1-14,18.04240845,7416.59,
2011,Mason,Age,1-14,15.41164438,9418.21,61111
2011,Lincoln,Age,1-14,17.26170116,1826.83,
2011,Lewis,Age,1-14,17.38081307,13242.73,
2011,Klickitat,Age,1-14,16.66403284,3416.54,
2011,Kittitas,Age,1-14,13.84702876,5697.63,
2011,Kitsap,Age,1-14,16.80873917,42742.41,
2011,King,Age,1-14,16.52066709,321097.08,
2011,Jefferson,Age,1-14,10.94379713,3297.4,
2011,Island,Age,1-14,15.70581394,12398.87,
2011,Grays Harbor,Age,1-14,16.48127085,12029.94,
2011,Grant,Age,1-14,23.742657,21371.39,
2011,Garfield,Age,1-14,14.71626428,333.11,
2011,Franklin,Age,1-14,27.17460866,21868.25,
2011,Ferry,Age,1-14,14.62558647,1101.02,
2011,Douglas,Age,1-14,20.86363632,8047.43,
2011,Cowlitz,Age,1-14,18.39948313,18900.95,
2011,Columbia,Age,1-14,15.22803161,620.69,
2011,Clark,Age,1-14,20.30623993,86997.51,
2011,Clallam,Age,1-14,13.57708867,9726.2,
2011,Chelan,Age,1-14,18.99368098,13799.31,
2011,Benton,Age,1-14,20.95622378,37302.86,
2011,Asotin,Age,1-14,16.70316758,3610.54,
2011,Adams,Age,1-14,28.08407624,5328.33,
2011,Washington State,Age,<1,1.286043087,87105.91,
2011,Yakima,Age,<1,1.796729581,4395.38,
2011,Whitman,Age,<1,0.887055847,393.98,
2011,Whatcom,Age,<1,1.089939246,2201.64,
2011,Walla Walla,Age,<1,1.056118564,621.02,
2011,Wahkiakum,Age,<1,0.616814533,24.82,
2011,Thurston,Age,<1,1.20332673,3062.29,
2011,Stevens,Age,<1,0.978839269,427.33,
2011,Spokane,Age,<1,1.25034054,5930.61,
2011,Snohomish,Age,<1,1.276907389,9152.55,
2011,Skamania,Age,<1,0.782927069,86.84,
2011,Skagit,Age,<1,1.200073513,1407.83,
2011,San Juan,Age,<1,0.508383181,81.08,
2011,Pierce,Age,<1,1.381713482,11111.01,
2011,Pend Oreille,Age,<1,1.040251883,134.8,
2011,Pacific,Age,<1,0.825477133,173.73,
2011,Okanogan,Age,<1,1.350956529,555.33,
